"","Title","Year","Rating","Runtime","Critic.Score","Box.Office"
"106","Sweet November",2001,"PG-13",119,16,24.4
"107","Down to Earth",2001,"PG-13",87,20,63.1
"108","Haunted Castle",2001,"PG",38,25,12.4
"109","Monkeybone",2001,"PG-13",93,20,4.9
"110","3000 Miles to Graceland",2001,"R",125,14,15.3
"111","See Spot Run",2001,"PG",94,23,32.5
"112","The Mexican",2001,"R",123,56,66.6
"113","Carman: The Champion",2001,"PG-13",82,11,1.3
"114","Get Over It",2001,"PG-13",87,44,11.3
"115","15 Minutes",2001,"R",120,33,24.2
"116","Bartleby",2001,"PG-13",83,35,0.0603
"117","Never Again",2001,"R",98,31,0.2
"118","Enemy at the Gates",2001,"R",131,54,50.5
"119","Exit Wounds",2001,"R",101,32,51.4
"120","Heartbreakers",2001,"PG-13",123,53,39.9
"121","The Brothers",2001,"R",106,63,26.6
"122","Say It Isn't So",2001,"R",95,9,4.8
"123","Spy Kids",2001,"PG",88,93,110.8
"124","Someone Like You...",2001,"PG-13",97,43,26.7
"125","Along Came a Spider",2001,"R",104,32,73.6
"126","Blow",2001,"R",124,55,52.8
"127","Joe Dirt",2001,"PG-13",91,11,27.1
"128","Kingdom Come",2001,"PG",94,28,22.6
"129","Josie and the Pussycats",2001,"PG-13",98,53,14.1
"130","Crocodile Dundee in Los Angeles",2001,"PG",92,11,25.3
"131","Freddy Got Fingered",2001,"R",87,11,13.7
"132","Driven",2001,"PG-13",116,14,32.4
"133","One Night at McCool's",2001,"R",93,33,5.7
"134","The Forsaken",2001,"R",90,7,6.3
"135","Town & Country",2001,"R",104,13,6.3
"136","The Mummy Returns",2001,"PG-13",130,47,200.7
"137","The Tailor of Panama",2001,"R",109,77,13.1
"138","A Knight's Tale",2001,"PG-13",132,58,55
"139","Shrek",2001,"PG",90,88,267
"140","Pearl Harbor",2001,"PG-13",183,25,197.8
"141","Startup.com",2001,"R",107,92,0.5
"142","What's the Worst That Could Happen?",2001,"PG-13",94,10,31.1
"143","Moulin Rouge!",2001,"PG-13",127,76,55.1
"144","The Animal",2001,"PG-13",84,30,54.4
"145","Swordfish",2001,"R",99,26,68.8
"146","Evolution",2001,"PG-13",101,43,37.6
"147","Lara Croft: Tomb Raider",2001,"PG-13",100,19,129.5
"148","Atlantis: The Lost Empire",2001,"PG",95,49,83.6
"149","The Fast and the Furious",2001,"PG-13",106,53,142.5
"150","Dr. Dolittle 2",2001,"PG",87,42,111.5
"151","Baby Boy",2001,"R",130,71,27.8
"152","Pootie Tang",2001,"PG-13",81,29,2.8
"153","The Anniversary Party",2001,"R",115,60,3
"154","Crazy/Beautiful",2001,"PG-13",99,63,16.2
"155","A.I. Artificial Intelligence",2001,"PG-13",146,73,77.6
"156","Cats & Dogs",2001,"PG",87,54,90.9
"157","Kiss of the Dragon",2001,"R",98,51,34.7
"158","Final Fantasy: The Spirits Within",2001,"PG-13",106,44,31.5
"159","The Score",2001,"R",124,73,70.3
"160","Jurassic Park III",2001,"PG-13",92,50,180.1
"161","America's Sweethearts",2001,"PG-13",102,31,93
"162","Planet of the Apes",2001,"PG-13",119,45,178.1
"163","Original Sin",2001,"R",116,12,15.1
"164","The Princess Diaries",2001,"G",115,47,107.8
"165","Rush Hour 2",2001,"PG-13",90,52,226
"166","The Others",2001,"PG-13",104,83,96.1
"167","Osmosis Jones",2001,"PG",95,55,12.3
"168","American Pie 2",2001,"R",108,52,144
"169","Captain Corelli's Mandolin",2001,"R",131,29,25.3
"170","American Outlaws",2001,"PG-13",94,14,11.9
"171","Rat Race",2001,"PG-13",112,44,55.8
"172","The Believer",2001,"R",102,82,0.2
"173","Jay and Silent Bob Strike Back",2001,"R",104,53,29.9
"174","Bubble Boy",2001,"PG-13",84,29,4.2
"175","Ghosts of Mars",2001,"R",98,21,7.3
"176","Summer Catch",2001,"PG-13",108,8,19
"177","The Curse of the Jade Scorpion",2001,"PG-13",103,45,6.8
"178","The Deep End",2001,"R",101,82,8.3
"179","O",2001,"R",95,64,15.5
"180","Tortilla Soup",2001,"PG-13",102,74,2.9
"181","Made",2001,"R",95,71,3.7
"182","Hedwig and the Angry Inch",2001,"R",95,92,1.5
"183","Jeepers Creepers",2001,"R",90,45,37.5
"184","Soul Survivors",2001,"PG-13",84,4,2
"185","The Musketeer",2001,"PG-13",104,11,26.6
"186","Two Can Play That Game",2001,"R",90,43,22
"187","The Glass House",2001,"PG-13",106,21,17.4
"188","Megiddo: The Omega Code 2",2001,"PG-13",104,10,5.6
"189","Ghost World",2001,"R",111,92,4.7
"190","Glitter",2001,"PG-13",104,7,3.9
"191","Hearts in Atlantis",2001,"PG-13",101,50,23.6
"192","Zoolander",2001,"PG-13",89,64,44.7
"193","Don't Say a Word",2001,"R",113,24,54.2
"194","Extremedays",2001,"PG",93,43,0.5
"195","Big Bad Love",2001,"R",111,41,0.1
"196","Joy Ride",2001,"R",97,73,21.3
"197","Serendipity",2001,"PG-13",90,59,50
"198","Training Day",2001,"R",122,72,76.1
"199","Max Keeble's Big Move",2001,"PG",86,29,16.5
"200","Corky Romano",2001,"PG-13",86,6,23
"201","Bandits",2001,"PG-13",123,65,41.2
"202","Riding in Cars with Boys",2001,"PG-13",132,49,29.6
"203","The Last Castle",2001,"R",131,52,17.9
"204","From Hell",2001,"R",122,57,30.7
"205","Mulholland Drive",2001,"R",147,81,7.1
"206","Bones",2001,"R",96,21,6.8
"207","Thir13en Ghosts",2001,"R",91,14,41.6
"208","K-PAX",2001,"PG-13",120,41,50
"209","Domestic Disturbance",2001,"PG-13",89,24,44.4
"210","The One",2001,"PG-13",87,14,43.9
"211","Monsters, Inc.",2001,"G",92,96,34
"212","Storytelling",2001,"R",87,53,0.9
"213","Life as a House",2001,"R",125,47,15.4
"214","Shallow Hal",2001,"PG-13",114,51,70.7
"215","Heist",2001,"R",109,65,23.3
"216","The Wash",2001,"R",93,8,9.8
"217","Harry Potter and the Sorcerer's Stone",2001,"PG",152,80,317.6
"218","The Man Who Wasn't There",2001,"R",116,81,7.4
"219","Waking Life",2001,"R",99,80,2.1
"220","Spy Game",2001,"R",126,66,62.3
"221","Out Cold",2001,"PG-13",89,8,13.9
"222","Black Knight",2001,"PG-13",95,14,33.3
"223","Behind Enemy Lines",2001,"PG-13",106,37,58.8
"224","Sidewalks of New York",2001,"R",108,57,2.1
"225","Ocean's Eleven",2001,"PG-13",116,82,183.3
"226","Vanilla Sky",2001,"R",136,41,100.5
"227","Novocaine",2001,"R",95,38,1.5
"228","Not Another Teen Movie",2001,"R",89,28,37.9
"229","The Lord of the Rings: The Fellowship of the Ring",2001,"PG-13",178,91,313.8
"230","The Majestic",2001,"PG",152,42,27.7
"231","The Business of Strangers",2001,"R",84,80,0.5
"232","Jimmy Neutron: Boy Genius",2001,"G",82,75,80.9
"233","How High",2001,"R",93,27,31.2
"234","Who Is Cletis Tout?",2001,"R",92,23,0.0649
"235","Kate & Leopold",2001,"PG-13",118,50,47.1
"236","Ali",2001,"R",157,67,58.2
"237","The Royal Tenenbaums",2001,"R",110,80,52.3
"238","A Beautiful Mind",2001,"PG-13",135,75,170.7
"239","Impostor",2001,"R",95,22,5.3
"240","American Adobo",2001,"R",104,30,0.2
"241","The Shipping News",2001,"R",111,55,11.4
"242","Gosford Park",2001,"R",137,85,41.3
"243","Black Hawk Down",2001,"R",144,76,108.6
"244","I Am Sam",2001,"PG-13",132,34,40.3
"245","Birthday Girl",2001,"R",93,58,4.9
"246","In the Bedroom",2001,"R",130,93,35.7
"247","Super Troopers",2001,"R",100,35,18.4
"248","Monster's Ball",2001,"R",111,85,31.3
"249","The Mystic Masseur",2001,"PG",117,52,0.3
"250","Iris",2001,"R",91,79,5.4
"251","Kissing Jessica Stein",2001,"R",97,84,7
"252","Human Nature",2001,"R",96,49,0.7
"253","The Other Side of Heaven",2001,"PG",113,29,4.4
"254","Frailty",2001,"R",100,73,13.1
"255","Piñero",2001,"R",103,43,0.2
"256","Monsoon Wedding",2001,"R",114,95,13.7
"257","Jason X",2001,"R",91,19,12.6
"258","The Cat's Meow",2001,"PG-13",114,75,3.2
"259","Dogtown and Z-Boys",2001,"PG-13",91,92,1.2
"260","CQ",2001,"R",88,67,0.3
"261","Enigma",2001,"R",119,72,3.8
"262","Thirteen Conversations About One Thing",2001,"R",104,83,3
"263","Festival in Cannes",2001,"PG-13",100,65,0.041
"264","Lovely & Amazing",2001,"R",91,86,4.2
"265","Little Secrets",2001,"PG",96,60,0.4
"266","Knockaround Guys",2001,"R",92,20,11.5
"267","Pokémon 4: The Movie",2001,"G",75,14,1.6
"268","The Man from Elysian Fields",2001,"R",106,51,1.3
"269","Cowboy Bebop: The Movie",2001,"R",115,64,0.9
"270","The Safety of Objects",2001,"R",121,49,0.0862
"271","On_Line",2002,"R",97,38,0.0257
"272","Orange County",2002,"PG-13",82,46,41
"273","State Property",2002,"R",88,0,2.1
"274","Snow Dogs",2002,"PG",99,24,81.1
"275","A Walk to Remember",2002,"PG",101,27,41.1
"276","Kung Pow: Enter the Fist",2002,"PG-13",81,11,15.9
"277","The Count of Monte Cristo",2002,"PG-13",131,73,54.1
"278","The Mothman Prophecies",2002,"PG-13",119,52,35.2
"279","The Singles Ward",2002,"PG",102,50,1.1
"280","Slackers",2002,"R",86,10,4.8
"281","Big Fat Liar",2002,"PG",88,42,47.8
"282","Collateral Damage",2002,"R",108,19,40
"283","Rollerball",2002,"R",98,3,18.9
"284","Crossroads",2002,"PG-13",93,14,37.1
"285","John Q",2002,"PG-13",116,23,71
"286","Hart's War",2002,"R",125,60,19
"287","Return to Never Land",2002,"G",72,45,48.3
"288","Heaven",2002,"R",97,74,0.6
"289","Dragonfly",2002,"PG-13",104,7,30.1
"290","Queen of the Damned",2002,"R",101,17,30.3
"291","We Were Soldiers",2002,"R",138,63,78.1
"292","The Time Machine",2002,"PG-13",96,29,56.7
"293","All About the Benjamins",2002,"R",95,30,25.5
"294","Showtime",2002,"PG-13",95,25,37.9
"295","Ice Age",2002,"PG",81,77,176.2
"296","Resident Evil",2002,"R",100,33,39.5
"297","Sorority Boys",2002,"R",93,13,10.2
"298","Blade II",2002,"R",117,59,81.6
"299","Clockstoppers",2002,"PG",94,29,36.9
"300","Panic Room",2002,"R",112,76,95.3
"301","Death to Smoochy",2002,"R",109,42,8.3
"302","The Rookie",2002,"G",127,83,75.5
"303","Van Wilder: Party Liaison",2002,"R",92,18,21
"304","Big Trouble",2002,"PG-13",85,48,7.3
"305","Changing Lanes",2002,"R",98,77,66.7
"306","The Sweetest Thing",2002,"R",88,26,24.4
"307","The Scorpion King",2002,"PG-13",92,41,90.3
"308","Life or Something Like It",2002,"PG-13",103,28,14.4
"309","Deuces Wild",2002,"R",96,3,6
"310","Hollywood Ending",2002,"PG-13",112,47,4.8
"311","The New Guy",2002,"PG-13",88,7,29
"312","Unfaithful",2002,"R",124,49,52.7
"313","Star Wars: Episode II - Attack of the Clones",2002,"PG",142,67,310.3
"314","The Salton Sea",2002,"R",103,62,0.6
"315","About a Boy",2002,"PG-13",101,93,40.6
"316","Spirit: Stallion of the Cimarron",2002,"G",83,69,73.2
"317","Enough",2002,"PG-13",115,22,39.2
"318","Insomnia",2002,"R",118,92,67.2
"319","Civil Brand",2002,"R",95,16,0.1
"320","Undercover Brother",2002,"PG-13",86,77,38.2
"321","The Sum of All Fears",2002,"PG-13",124,59,118.5
"322","Divine Secrets of the Ya-Ya Sisterhood",2002,"PG-13",116,44,69.5
"323","Bad Company",2002,"PG-13",116,10,30.1
"324","The Bourne Identity",2002,"PG-13",119,83,121.5
"325","Scooby-Doo",2002,"PG",86,30,153.2
"326","Windtalkers",2002,"R",134,32,40.5
"327","Passionada",2002,"PG-13",108,58,0.5
"328","Minority Report",2002,"PG-13",145,90,131.9
"329","Juwanna Mann",2002,"PG-13",91,10,13.4
"330","Lilo & Stitch",2002,"PG",85,86,145.8
"331","Mr. Deeds",2002,"PG-13",96,22,126.2
"332","Hey Arnold! The Movie",2002,"PG",76,29,13.6
"333","Like Mike",2002,"PG",99,57,51.4
"334","Men in Black II",2002,"PG-13",88,39,190.4
"335","The Powerpuff Girls Movie",2002,"PG",73,63,11.3
"336","Sunshine State",2002,"PG-13",141,80,2.8
"337","Halloween: Resurrection",2002,"R",94,12,30.3
"338","Reign of Fire",2002,"PG-13",101,40,42.9
"339","Road to Perdition",2002,"R",117,81,104.1
"340","The Crocodile Hunter: Collision Course",2002,"PG",90,53,28.3
"341","Eight Legged Freaks",2002,"PG-13",99,48,17.2
"342","K-19: The Widowmaker",2002,"PG-13",138,60,35.1
"343","Stuart Little 2",2002,"PG",77,81,64.7
"344","Austin Powers in Goldmember",2002,"PG-13",94,54,213.1
"345","The Country Bears",2002,"G",88,30,16.9
"346","The Master of Disguise",2002,"PG",80,1,40.3
"347","Signs",2002,"PG-13",106,74,227.9
"348","Martin Lawrence Live: Runteldat",2002,"R",113,39,19.1
"349","My Big Fat Greek Wedding",2002,"PG",95,76,241.3
"350","Spy Kids 2: Island of Lost Dreams",2002,"PG",100,74,85.6
"351","xXx",2002,"PG-13",124,48,141.1
"352","Blood Work",2002,"R",110,53,26.1
"353","Blue Crush",2002,"PG-13",104,36,1
"354","The Adventures of Pluto Nash",2002,"PG-13",95,5,4.4
"355","S1m0ne",2002,"PG-13",117,51,9.5
"356","Serving Sara",2002,"PG-13",99,4,16.9
"357","Possession",2002,"PG-13",102,65,10.1
"358","Feardotcom",2002,"R",101,3,13.1
"359","City by the Sea",2002,"R",108,48,22.4
"360","Swimfan",2002,"PG-13",85,14,28.3
"361","Stealing Harvard",2002,"PG-13",85,9,13.9
"362","Barbershop",2002,"PG-13",102,82,75.1
"363","Manna from Heaven",2002,"PG",119,22,0.1
"364","Ballistic: Ecks vs. Sever",2002,"R",91,0,14.2
"365","Charly",2002,"PG",103,20,0.7
"366","The Banger Sisters",2002,"R",98,47,30.2
"367","The Four Feathers",2002,"PG-13",132,41,18.2
"368","Trapped",2002,"R",106,18,6.9
"369","Pandora's Box",2002,"R",103,0,0.8
"370","Sweet Home Alabama",2002,"PG-13",108,38,127.2
"371","The Tuxedo",2002,"PG-13",98,22,50.2
"372","Jonah: A VeggieTales Movie",2002,"G",82,65,25.4
"373","Igby Goes Down",2002,"R",98,76,4.6
"374","Red Dragon",2002,"R",124,69,92.9
"375","Moonlight Mile",2002,"PG-13",117,63,6.7
"376","Anything But Love",2002,"PG-13",102,37,0.0587
"377","Secretary",2002,"R",104,75,3.8
"378","The Transporter",2002,"PG-13",92,53,25.2
"379","The Rules of Attraction",2002,"R",110,43,6.5
"380","White Oleander",2002,"PG-13",109,70,16.3
"381","Brown Sugar",2002,"PG-13",109,66,27.2
"382","Tuck Everlasting",2002,"PG",90,61,19
"383","The Ring",2002,"PG-13",115,72,128.6
"384","Welcome to Collinwood",2002,"R",86,54,0.0752
"385","Abandon",2002,"PG-13",99,16,10.7
"386","Hansel & Gretel",2002,"PG",89,0,0.1
"387","Paid in Full",2002,"R",97,51,3
"388","Jackass: The Movie",2002,"R",87,48,64.2
"389","The Truth About Charlie",2002,"PG-13",104,33,5.3
"390","Ghost Ship",2002,"R",91,14,30.1
"391","Auto Focus",2002,"R",105,72,1.8
"392","Comedian",2002,"R",82,76,2.7
"393","Punch-Drunk Love",2002,"R",95,79,17.8
"394","The Santa Clause 2",2002,"G",104,55,139.2
"395","8 Mile",2002,"R",110,76,116.6
"396","Real Women Have Curves",2002,"PG-13",90,83,5.7
"397","Bowling for Columbine",2002,"R",120,96,21.2
"398","Harry Potter and the Chamber of Secrets",2002,"PG",161,82,261.8
"399","Half Past Dead",2002,"PG-13",98,3,15.4
"400","Frida",2002,"R",123,76,25.7
"401","Friday After Next",2002,"R",85,25,33
"402","The Emperor's Club",2002,"PG-13",109,50,14
"403","Roger Dodger",2002,"R",106,88,1.2
"404","Die Another Day",2002,"PG-13",133,57,160.2
"405","Eight Crazy Nights",2002,"PG-13",76,12,23.3
"406","Solaris",2002,"PG-13",99,66,14.8
"407","Treasure Planet",2002,"PG",95,68,38.1
"408","They",2002,"PG-13",89,38,12.6
"409","Standing in the Shadows of Motown",2002,"PG",108,92,1.2
"410","Analyze That",2002,"R",96,27,32.1
"411","Empire",2002,"R",90,21,17.5
"412","Drumline",2002,"PG-13",118,82,56.2
"413","Maid in Manhattan",2002,"PG-13",105,39,93.8
"414","Star Trek: Nemesis",2002,"PG-13",116,37,43.1
"415","The Hot Chick",2002,"PG-13",104,21,34.9
"416","The Lord of the Rings: The Two Towers",2002,"PG-13",179,96,340.5
"417","The Wild Thornberrys Movie",2002,"PG",85,80,39.8
"418","Gangs of New York",2002,"R",167,75,77.6
"419","Two Weeks Notice",2002,"PG-13",101,42,93.2
"420","Catch Me If You Can",2002,"PG-13",141,96,164.4
"421","Pinocchio",2002,"G",108,0,3.6
"422","Evelyn",2002,"PG",94,64,1.3
"423","About Schmidt",2002,"R",125,85,65
"424","25th Hour",2002,"R",135,78,12.8
"425","Narc",2002,"R",105,83,10.2
"426","Antwone Fisher",2002,"PG-13",120,79,20.8
"427","Far from Heaven",2002,"PG-13",107,87,15.8
"428","Cherish",2002,"R",99,51,0.2
"429","Chicago",2002,"PG-13",113,86,170.6
"430","Confessions of a Dangerous Mind",2002,"R",113,79,15.9
"431","Spun",2002,"R",101,37,0.2
"432","Adaptation.",2002,"R",114,91,22.2
"433","The Hours",2002,"PG-13",114,81,41.5
"434","The Guru",2002,"R",94,57,2.9
"435","Dark Blue",2002,"R",118,58,9.1
"436","Poolhall Junkies",2002,"R",99,34,0.5
"437","Boat Trip",2002,"R",94,7,8.5
"438","City of Ghosts",2002,"R",116,47,0.3
"439","Personal Velocity: Three Portraits",2002,"R",86,69,0.6
"440","Laurel Canyon",2002,"R",103,68,3.6
"441","Phone Booth",2002,"R",81,71,46.5
"442","Better Luck Tomorrow",2002,"R",101,81,3.7
"443","Raising Victor Vargas",2002,"R",88,96,2
"444","The Dancer Upstairs",2002,"R",132,64,2.3
"445","Spellbound",2002,"G",97,98,5.5
"446","Nicholas Nickleby",2002,"PG",132,77,1.3
"447","Stolen Summer",2002,"PG",91,36,0.1
"448","Bend It Like Beckham",2002,"PG-13",112,85,32.4
"449","The Secret Lives of Dentists",2002,"R",104,85,3.6
"450","Assassination Tango",2002,"R",114,48,0.9
"451","Cabin Fever",2002,"R",93,63,21.1
"452","Pumpkin",2002,"R",113,36,0.1
"453","Darkness",2002,"PG-13",88,4,22
"454","G",2002,"R",97,24,3
"455","National Security",2003,"PG-13",88,11,35.8
"456","A Guy Thing",2003,"PG-13",101,24,15.4
"457","Darkness Falls",2003,"PG-13",86,9,32
"458","The R.M.",2003,"PG",101,64,0.4
"459","Final Destination 2",2003,"R",90,48,46.5
"460","Biker Boyz",2003,"PG-13",110,23,21.7
"461","The Recruit",2003,"PG-13",115,43,52.7
"462","Deliver Us from Eva",2003,"R",105,44,17.3
"463","Shanghai Knights",2003,"PG-13",114,66,60.4
"464","How to Lose a Guy in 10 Days",2003,"PG-13",116,42,105.8
"465","Daredevil",2003,"PG-13",103,45,102.5
"466","The Jungle Book 2",2003,"G",72,19,47.8
"467","Gods and Generals",2003,"PG-13",219,8,12.9
"468","Old School",2003,"R",88,60,74.6
"469","The Life of David Gale",2003,"R",130,19,19.6
"470","Cradle 2 the Grave",2003,"R",101,26,34.5
"471","Tears of the Sun",2003,"R",121,33,43.4
"472","Bringing Down the House",2003,"PG-13",105,34,132.5
"473","The Hunted",2003,"R",94,29,34.2
"474","Agent Cody Banks",2003,"PG",102,39,47.3
"475","Willard",2003,"PG-13",100,64,6.8
"476","Dreamcatcher",2003,"R",134,30,33.6
"477","View from the Top",2003,"PG-13",87,14,15.5
"478","Piglet's Big Movie",2003,"G",75,71,23.1
"479","The Core",2003,"PG-13",135,41,31
"480","Head of State",2003,"PG-13",95,31,37.8
"481","Basic",2003,"R",98,21,26.5
"482","DysFunktional Family",2003,"R",89,43,2.2
"483","What a Girl Wants",2003,"PG",105,35,36
"484","A Man Apart",2003,"R",109,11,26.2
"485","House of 1000 Corpses",2003,"R",89,19,12.6
"486","Anger Management",2003,"PG-13",106,43,133.8
"487","Bulletproof Monk",2003,"PG-13",104,23,23
"488","Chasing Papi",2003,"PG",80,14,6.1
"489","Ghosts of the Abyss",2003,"PG",59,80,16.3
"490","Malibu's Most Wanted",2003,"PG-13",86,31,34.3
"491","Holes",2003,"PG",117,77,67.3
"492","It Runs in the Family",2003,"PG-13",109,28,7.4
"493","Confidence",2003,"R",97,70,12.1
"494","The Real Cancun",2003,"R",96,35,3.7
"495","Identity",2003,"R",90,62,51.5
"496","The Lizzie McGuire Movie",2003,"PG",94,40,42.7
"497","X-Men 2",2003,"PG-13",134,87,214.8
"498","A Mighty Wind",2003,"PG-13",91,88,17.5
"499","Daddy Day Care",2003,"PG",92,28,104.1
"500","The Matrix Reloaded",2003,"R",138,73,281.5
"501","The Shape of Things",2003,"R",96,64,0.7
"502","The In-Laws",2003,"PG-13",98,34,20.4
"503","Bruce Almighty",2003,"PG-13",101,48,242.6
"504","Wrong Turn",2003,"R",84,41,15.2
"505","Finding Nemo",2003,"G",100,99,41.1
"506","The Italian Job",2003,"PG-13",111,73,106
"507","2 Fast 2 Furious",2003,"PG-13",107,36,127.1
"508","Hollywood Homicide",2003,"PG-13",116,30,30
"509","Dumb and Dumberer: When Harry Met Lloyd",2003,"PG-13",85,10,26.1
"510","Rugrats Go Wild",2003,"PG",80,41,39.4
"511","From Justin to Kelly",2003,"PG",81,10,4.6
"512","Hulk",2003,"PG-13",138,62,132.1
"513","Alex & Emma",2003,"PG-13",96,11,14.1
"514","Charlie's Angels: Full Throttle",2003,"PG-13",106,43,100.7
"515","Legally Blonde 2: Red, White & Blonde",2003,"PG-13",95,38,89.8
"516","Sinbad: Legend of the Seven Seas",2003,"PG",86,46,26.3
"517","Terminator 3: Rise of the Machines",2003,"R",109,70,150.3
"518","Pirates of the Caribbean: The Curse of the Black Pearl",2003,"PG-13",143,79,305.3
"519","The League of Extraordinary Gentlemen",2003,"PG-13",110,17,66.3
"520","Johnny English",2003,"PG",87,33,28
"521","How to Deal",2003,"PG-13",101,28,14.1
"522","Bad Boys II",2003,"R",147,23,138.4
"523","Lara Croft Tomb Raider: The Cradle of Life",2003,"PG-13",117,24,65.7
